City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
93,Belle Fourche,US,2020-04-29 19:52:48,44.67,-103.85,66.99,22,1,8.05,Clear,0,0
94,Pangnirtung,CA,2020-04-29 19:52:48,66.15,-65.71,24.8,62,75,2.77,Clouds,0,0
95,Tautira,PF,2020-04-29 19:52:48,-17.73,-149.15,86.0,70,100,12.75,Clouds,0,0
96,Chuy,UY,2020-04-29 19:52:48,-33.7,-53.46,65.43,57,0,13.06,Clear,0,0
97,Kirakira,SB,2020-04-29 19:52:49,-10.45,161.92,80.11,79,94,5.26,Clouds,0,0
98,Sao Filipe,CV,2020-04-29 19:52:49,14.9,-24.5,76.82,65,10,19.55,Clear,0,0
99,Hobart,AU,2020-04-29 19:52:49,-42.88,147.33,57.0,100,90,6.93,Rain,0,0
100,Dong Hoi,VN,2020-04-29 19:52:49,17.48,106.6,74.44,87,100,3.53,Clouds,0,0
101,Kruisfontein,ZA,2020-04-29 19:52:49,-34.0,24.73,55.62,62,0,3.0,Clear,0,0
102,Novooleksiyivka,UA,2020-04-29 19:52:49,46.23,34.64,51.49,73,0,5.21,Clear,0,0
103,Kavaratti,IN,2020-04-29 19:52:50,10.57,72.64,85.44,67,100,7.65,Clouds,0,0
104,Russell,US,2020-04-29 19:52:50,32.35,-85.2,71.6,94,75,9.17,Clouds,0,0
105,Emerald,AU,2020-04-29 19:52:50,-23.53,148.17,71.6,94,90,4.7,Clouds,0,0
106,Rafai,CF,2020-04-29 19:52:50,4.95,23.92,75.29,59,0,2.93,Rain,0,0
107,Hasaki,JP,2020-04-29 19:52:50,35.73,140.83,50.0,87,20,4.7,Clouds,0,0
108,Phalombe,MW,2020-04-29 19:52:50,-15.81,35.65,65.25,68,2,2.24,Clear,0,0
109,Coolidge,US,2020-04-29 19:51:00,32.98,-111.52,99.0,12,1,3.36,Clear,0,0
110,Lagoa,PT,2020-04-29 19:52:51,39.05,-27.98,62.55,87,59,29.86,Clouds,0,0
111,Bairiki,KI,2020-04-29 19:52:51,1.33,172.98,82.4,78,75,6.93,Clouds,0,0
112,Thompson,CA,2020-04-29 19:52:51,55.74,-97.86,51.8,34,40,10.29,Clouds,0,0
113,Catamarca,AR,2020-04-29 19:52:51,-28.47,-65.79,75.0,58,1,10.0,Clear,0,0
114,Rocha,UY,2020-04-29 19:52:51,-34.48,-54.33,62.71,63,0,12.62,Clear,0,0
115,Sangar,RU,2020-04-29 19:52:51,63.92,127.47,20.89,94,52,13.85,Clouds,0,0
116,Natal,BR,2020-04-29 19:52:52,-5.79,-35.21,78.8,88,75,6.93,Rain,0,0
117,Birobidzhan,RU,2020-04-29 19:52:52,48.8,132.95,49.14,48,96,5.59,Clouds,0,0
118,Victoria,HK,2020-04-29 19:48:26,22.29,114.16,73.0,64,28,8.23,Clouds,0,0
119,Avarua,CK,2020-04-29 19:52:52,-21.21,-159.78,75.2,88,57,5.82,Rain,0,0
120,Umm Kaddadah,SD,2020-04-29 19:52:52,13.6,26.69,88.99,10,0,14.76,Clear,0,0
121,Morant Bay,JM,2020-04-29 19:52:52,17.88,-76.41,86.0,66,40,20.8,Clouds,0,0
122,Zharkent,KZ,2020-04-29 19:52:52,44.16,80.0,65.97,46,74,1.79,Clouds,0,0
123,Broome,US,2020-04-29 19:52:53,42.25,-75.83,59.0,58,20,21.92,Clouds,0,0
124,Lorengau,PG,2020-04-29 19:52:53,-2.02,147.27,80.82,78,75,3.51,Rain,0,0
125,Parral,MX,2020-04-29 19:52:53,26.93,-105.67,85.01,7,0,9.75,Clear,0,0
126,Iquique,CL,2020-04-29 19:52:53,-20.22,-70.14,68.0,64,90,6.93,Clouds,0,0
127,Saint-Philippe,RE,2020-04-29 19:52:53,-21.36,55.77,73.4,64,40,13.87,Clouds,0,0
128,Denpasar,ID,2020-04-29 19:52:02,-8.65,115.22,82.4,88,40,11.41,Clouds,0,0
129,Hermanus,ZA,2020-04-29 19:52:54,-34.42,19.23,63.36,68,96,4.63,Clouds,0,0
130,Diego De Almagro,CL,2020-04-29 19:52:54,-26.37,-70.05,80.06,20,58,10.85,Clouds,0,0
131,Aklavik,CA,2020-04-29 19:52:54,68.22,-135.01,10.4,55,20,6.93,Clouds,0,0
132,Sao Felix Do Xingu,BR,2020-04-29 19:52:54,-6.64,-51.99,82.76,68,3,5.19,Clear,0,0
133,Grand Gaube,MU,2020-04-29 19:52:54,-20.01,57.66,75.99,73,6,10.0,Clear,0,0
134,New Norfolk,AU,2020-04-29 19:52:55,-42.78,147.06,53.01,92,100,1.43,Rain,0,0
135,Kentau,KZ,2020-04-29 19:52:55,43.52,68.51,60.64,34,96,6.76,Clouds,0,0
136,Concepcion Del Oro,MX,2020-04-29 19:52:55,24.63,-101.42,78.84,9,0,12.5,Clear,0,0
137,Namatanai,PG,2020-04-29 19:52:55,-3.67,152.43,80.56,78,83,5.17,Rain,0,0
138,Mikhaylovka,RU,2020-04-29 19:52:55,50.06,43.24,55.0,49,18,9.75,Clouds,0,0
139,Hofn,IS,2020-04-29 19:52:55,64.25,-15.21,46.4,65,20,12.75,Clouds,0,0
140,Bilma,NE,2020-04-29 19:52:56,18.69,12.92,90.55,10,0,1.66,Clear,0,0
141,Bonavista,CA,2020-04-29 19:52:56,48.65,-53.11,36.0,80,44,8.01,Clouds,0,0
142,Olafsvik,IS,2020-04-29 19:52:56,64.89,-23.71,42.91,73,70,11.5,Clouds,0,0
143,Key West,US,2020-04-29 19:49:35,24.56,-81.78,87.8,70,20,11.41,Clouds,0,0
144,Kandrian,PG,2020-04-29 19:52:56,-6.22,149.55,78.3,86,10,3.13,Rain,0,0
145,Perry,US,2020-04-29 19:52:56,37.25,-83.2,71.6,49,90,6.93,Clouds,0,0
146,Riyadh,SA,2020-04-29 19:51:39,24.69,46.72,89.6,27,40,13.87,Clouds,0,0
147,Burns Lake,CA,2020-04-29 19:50:32,54.23,-125.75,52.65,33,100,3.87,Clouds,0,0
148,Adeje,ES,2020-04-29 19:52:57,28.12,-16.73,69.01,64,20,16.11,Clouds,0,0
149,Vigrestad,NO,2020-04-29 19:52:57,58.57,5.7,48.2,57,75,11.41,Clouds,0,0
150,Hirado,JP,2020-04-29 19:52:57,33.36,129.55,57.52,69,0,7.29,Clear,0,0
151,Vardo,NO,2020-04-29 19:52:57,70.37,31.11,28.4,79,40,11.41,Clouds,0,0
152,Rio Grande,BR,2020-04-29 19:51:01,-32.03,-52.1,78.8,36,0,11.41,Clear,0,0
153,Luderitz,NA,2020-04-29 19:52:58,-26.65,15.16,62.6,77,0,4.7,Clear,0,0
154,Abu Zabad,SD,2020-04-29 19:52:58,12.35,29.25,87.08,10,2,7.94,Clear,0,0
155,Palasa,IN,2020-04-29 19:52:58,18.77,84.42,80.44,86,9,7.34,Rain,0,0
156,Khanpur,PK,2020-04-29 19:52:58,28.65,70.66,88.68,29,52,10.94,Clouds,0,0
157,America Dourada,BR,2020-04-29 19:52:58,-11.46,-41.44,74.46,59,51,8.95,Clouds,0,0
158,Ballina,AU,2020-04-29 19:52:58,-28.87,153.57,64.0,93,95,10.92,Clouds,0,0
159,Ust-Tsilma,RU,2020-04-29 19:52:59,65.44,52.15,32.34,96,100,8.05,Clouds,0,0
160,Jati,PK,2020-04-29 19:52:59,24.35,68.27,78.35,85,0,10.92,Clear,0,0
161,Carnarvon,AU,2020-04-29 19:52:59,-24.87,113.63,64.4,34,78,10.29,Clouds,0,0
162,Meoqui,MX,2020-04-29 19:52:59,28.28,-105.48,86.0,10,5,11.41,Clear,0,0
163,Gao,ML,2020-04-29 19:52:59,16.64,1.64,95.63,8,0,8.7,Clear,0,0
164,Valparaiso,CL,2020-04-29 19:51:57,-33.04,-71.63,71.6,40,0,9.17,Clear,0,0
165,Koygorodok,RU,2020-04-29 19:52:59,60.45,51.0,31.12,94,100,4.09,Clouds,0,0
166,Metro,ID,2020-04-29 19:53:00,-5.11,105.31,74.64,93,99,5.61,Rain,0,0
167,Bethel,US,2020-04-29 19:53:00,41.37,-73.41,53.6,54,90,13.87,Clouds,0,0
168,Poum,NC,2020-04-29 19:53:00,-20.23,164.02,76.57,78,0,12.59,Clear,0,0
169,Avera,US,2020-04-29 19:53:00,33.19,-82.53,80.6,44,40,16.11,Clouds,0,0
170,Cururupu,BR,2020-04-29 19:53:00,-1.83,-44.87,81.72,77,100,4.47,Clouds,0,0
171,Gboko,NG,2020-04-29 19:53:00,7.32,9.0,87.85,53,35,11.07,Clouds,0,0
172,Srednekolymsk,RU,2020-04-29 19:53:01,67.45,153.68,18.63,96,90,4.85,Clouds,0,0
173,Port Keats,AU,2020-04-29 19:53:01,-14.25,129.55,80.37,69,2,4.12,Clear,0,0
174,Mehamn,NO,2020-04-29 19:53:01,71.04,27.85,21.2,67,0,6.93,Clear,0,0
175,Kozhva,RU,2020-04-29 19:53:01,65.11,57.05,33.06,91,100,2.06,Clouds,0,0
176,Bend,US,2020-04-29 19:49:59,44.06,-121.32,71.01,46,100,4.0,Clouds,0,0
177,Molina,CL,2020-04-29 19:53:02,-35.12,-71.28,66.7,29,1,7.85,Clear,0,0
178,Dunkwa,GH,2020-04-29 19:53:02,5.97,-1.78,79.2,82,36,4.52,Clouds,0,0
179,Auki,SB,2020-04-29 19:53:02,-8.77,160.7,79.92,83,97,3.87,Rain,0,0
180,Qaanaaq,GL,2020-04-29 19:53:02,77.48,-69.36,15.94,87,100,11.92,Clouds,0,0
181,Yueyang,CN,2020-04-29 19:53:02,29.33,113.09,71.67,62,100,8.41,Clouds,0,0
182,Nurota,UZ,2020-04-29 19:53:02,40.56,65.69,57.2,87,2,9.17,Clear,0,0
183,Lata,PT,2020-04-29 19:53:02,40.16,-8.33,61.0,77,100,4.88,Clouds,0,0
184,Sakaiminato,JP,2020-04-29 19:53:03,35.55,133.23,48.2,87,20,5.82,Clouds,0,0
