City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,Kigoma,TZ,71.6,Thunderstorm,-4.88,29.63,Kigoma Hilltop Hotel
190,Naze,JP,55.4,Clouds,28.37,129.48,奄美ポートタワーホテル
191,Camocim,BR,80.56,Rain,-2.9,-40.84,Hotel Ilha do Amor
192,North Bend,US,62.01,Clouds,43.41,-124.22,Red Lion Hotel Coos Bay
193,Bela,IN,86.83,Clouds,25.93,81.98,Siddharth Hotel
194,Faanui,PF,82.0,Clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
196,Kirchhundem,DE,52.0,Clouds,51.1,8.1,Hotel Cordial
197,Bose,IT,60.01,Clouds,45.46,8.01,Locanda Borgo Antico
198,Geraldton,AU,57.2,Clouds,-28.77,114.6,Broadwater Mariner Resort
199,Cabo San Lucas,MX,86.0,Clear,22.89,-109.91,Hotel Tesoro Los Cabos
200,Tura,IN,68.95,Clear,25.52,90.22,Hotel RIKMAN Continental
201,Nishihara,JP,68.0,Clouds,26.18,127.76,Minshuku Agaihama
203,Laibin,CN,70.57,Clouds,23.7,109.27,Laibin Hotel
204,Tuatapere,NZ,50.27,Clouds,-46.13,167.68,Tom Cruse Refreshment Company
206,Ourossogui,SN,99.09,Clouds,15.61,-13.32,Auberge Sogui
207,Presidencia Roque Saenz Pena,AR,74.53,Clouds,-26.79,-60.44,Hotel Aconcagua
208,Zavyalovo,RU,55.4,Clouds,54.51,82.45,"Guest House ""Red Bench"""
209,Hithadhoo,MV,84.87,Clear,-0.6,73.08,Scoop Guest House
210,Asau,RO,55.99,Clouds,46.43,26.4,Casa Mika Ciobanus
212,Puerto Escondido,MX,84.2,Clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
213,Vao,NC,75.65,Rain,-22.67,167.48,Hotel Kou-Bugny
215,Grao Mogol,BR,70.03,Clouds,-16.56,-42.89,Pousada do Eti
216,Itacoatiara,BR,80.6,Rain,-3.14,-58.44,BBB Rooms Centro Itacoatiara AM
217,Powell River,CA,50.0,Rain,49.85,-124.54,Rodmay Hotel
218,Riverton,US,78.01,Clear,40.52,-111.94,Ramada by Wyndham Draper
219,Sawakin,SD,77.94,Clear,19.11,37.33,فندق الدويم
221,Castro,BR,71.13,Clear,-24.79,-50.01,CHACARA BAILLY
223,Cockburn Town,TC,79.18,Clear,21.46,-71.14,Osprey Beach Hotel
225,Sakakah,SA,77.0,Clear,29.97,40.21,Fakhamat Al Orjoana Apartment
226,Vila Velha,BR,77.0,Clouds,-20.33,-40.29,Hotel Vitória Palace
227,Port Alberni,CA,54.0,Rain,49.24,-124.8,Somass Motel & RV
228,Vila Franca Do Campo,PT,64.4,Clouds,37.72,-25.43,Pestana Bahia Praia
229,Honiara,SB,75.2,Clouds,-9.43,159.95,Heritage Park Hotel
230,Picota,PE,82.4,Clouds,-6.92,-76.33,Hospedaje Vanessa
231,Korla,CN,75.69,Clear,41.76,86.15,Gulisitan Hotel
232,Mabaruma,GY,84.07,Clouds,8.2,-59.78,
233,Songkhla,TH,78.8,Clouds,6.83,100.67,น.ส ซัลมา สาแม็ง
235,Wiang Sa,TH,77.07,Clouds,8.64,99.37,ชำนาญอินน์
236,Sao Joao Da Barra,BR,80.6,Clouds,-21.64,-41.05,Pousada Porto De Canoas
237,Tandil,AR,62.01,Clear,-37.32,-59.13,HOSTAL DE LA SIERRA TANDIL
239,Guspini,IT,64.4,Clouds,39.54,8.63,Hotel Sa Rocca
240,Laguna,US,73.99,Clear,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
241,Taoudenni,ML,95.54,Clouds,22.68,-3.98,
242,Belogorsk,RU,50.07,Clouds,50.92,128.46,Hotel Malina
243,Saint-Joseph,RE,73.4,Clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
244,Lumeje,AO,66.13,Clear,-11.55,20.78,
247,Banfora,BF,87.84,Clouds,10.63,-4.77,Residences David Hebié
248,Radomir,BG,59.0,Clouds,42.54,22.96,Guest House
249,Kemang,ID,75.38,Rain,-3.35,104.34,Sidiq home stay
251,Chapais,CA,51.8,Clouds,49.78,-74.85,Hôtel Opémiska
252,Superior,US,59.0,Clear,46.72,-92.1,Holiday Inn Express & Suites Superior - Duluth Area
253,Kankan,GN,83.88,Clouds,10.39,-9.31,Hotel Bate
256,Manaus,BR,89.6,Clouds,-3.1,-60.02,Hotel do Largo
257,Ribeira Grande,PT,64.4,Clouds,38.52,-28.7,Quinta da Meia Eira
259,Port Blair,IN,82.98,Clouds,11.67,92.75,Hotel Sentinel
261,Acarau,BR,81.01,Rain,-2.89,-40.12,castelo pizzaria
262,Rabo De Peixe,PT,64.4,Clouds,37.8,-25.58,Guest House & Spa
263,Cabedelo,BR,84.2,Clouds,-6.98,-34.83,Lua Mansa Pousada
264,Torrijos,ES,59.0,Clouds,39.98,-4.28,El Mesón
265,Fukue,JP,61.39,Clear,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
266,Nouadhibou,MR,68.0,Sand,20.93,-17.03,El Medina
267,Cao Bang,VN,67.1,Clouds,22.67,106.25,khách sạn 88
268,Baffa,PK,65.3,Rain,34.44,73.22,عطاءاللہ خان اینڈ عباس خان ہاوس
269,Gibsons,CA,54.0,Rain,49.4,-123.5,Cedars Inn Hotel & Convention Center
270,Cap Malheureux,MU,75.99,Clouds,-19.98,57.61,Pereybere Hotel & Spa
271,Fare,PF,82.83,Rain,-16.7,-151.02,Maitai Lapita Village Huahine
272,Nelson Bay,AU,68.0,Clear,-32.72,152.15,Mantra Nelson Bay
273,Moranbah,AU,65.95,Clouds,-22.0,148.05,Direct Hotels - Monterey Moranbah
276,Tadine,NC,75.76,Rain,-21.55,167.88,
277,Hay River,CA,51.8,Clouds,60.82,-115.8,Ptarmigan Inn Hotels
278,Barcelos,PT,59.0,Clouds,41.54,-8.62,Hotel Do Terço
279,Mandal,IN,86.56,Clear,25.45,74.57,पीपी वाले हनुमान जी
280,Faya,SA,68.0,Clouds,18.39,42.45,مقبرة ال مجمل
281,Diapaga,BF,99.97,Clouds,12.07,1.79,
283,Coihaique,CL,53.6,Clouds,-45.58,-72.07,Diego De Almagro Coyhaique
284,Lahad Datu,MY,75.45,Clear,5.03,118.33,The 27th House
285,Minjur,IN,86.0,Clouds,13.27,80.27,Hotel Nation
286,Dingle,PH,77.88,Clouds,11.0,122.67,Camp Pasica
287,Mecca,SA,81.46,Clear,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
288,Padang,ID,76.93,Rain,-0.95,100.35,Mercure Padang
292,Canmore,CA,62.6,Clouds,51.08,-115.35,Blackstone Mountain Lodge by CLIQUE
293,Boa Vista,BR,95.0,Clouds,2.82,-60.67,Aipana Plaza Hotel
295,Beloha,MG,72.48,Rain,-25.17,45.05,
296,Zihuatanejo,MX,87.8,Clouds,17.63,-101.55,La Casa Que Canta
297,Alice,US,84.2,Clouds,27.75,-98.07,Holiday Inn Express & Suites Alice
298,Marsa Matruh,EG,64.45,Clear,31.35,27.25,Beau Site
300,Vrbas,RS,60.01,Clouds,45.57,19.64,Хотел Бачка
301,Rio Blanco,MX,86.59,Rain,18.83,-97.15,Estacion Alameda
302,Road Town,VG,84.2,Clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
303,Saint George,US,91.99,Rain,37.1,-113.58,Best Western Plus Abbey Inn
305,Luzhou,CN,66.87,Rain,28.87,105.44,Shijichun Hotel
306,Bintulu,MY,78.8,Clouds,3.17,113.03,900 Boutique INN
307,Warri,NG,78.84,Clouds,5.52,5.75,BON Hotel Delta
308,Toora-Khem,RU,55.89,Rain,52.47,96.11,
309,Victoria Point,AU,68.0,Clouds,-27.58,153.3,Bay Retreat Motel
310,Nirmal,IN,81.23,Clear,19.1,78.35,Hotel Mayuri
311,Nikolsk,RU,53.01,Rain,53.72,46.07,Гостиница Центральная
312,Calbuco,CL,59.0,Clouds,-41.77,-73.13,Hotel Colonial
314,Vadgaon,IN,87.21,Clear,20.94,74.87,Hostel No 1
315,Coos Bay,US,64.0,Clouds,43.37,-124.22,Best Western Holiday Hotel
316,Yanam,IN,80.04,Clear,16.73,82.22,The Regency Hotel
317,Portland,US,72.0,Clouds,45.52,-122.68,Portland Marriott City Center
318,Esik,KZ,57.2,Clouds,43.36,77.45,"Gostevoy Dom ""Asyl Tau"""
323,Matara,LK,78.49,Rain,5.95,80.54,Amaloh Boutique Resort
324,Taltal,CL,67.55,Clouds,-25.4,-70.48,Residencial Karime
325,Chubbuck,US,75.2,Clear,42.92,-112.47,Quality Inn
326,Karratha,AU,77.94,Clouds,-20.74,116.85,ibis Styles Karratha
328,Santa Maria Del Oro,MX,86.85,Clear,25.93,-105.37,Hotel Palacio Del Sol
330,Tangshan,CN,62.2,Clouds,39.63,118.18,Civil Affairs Hotel
331,Aviles,ES,60.8,Clouds,43.55,-5.92,Hotel NH Collection Palacio de Avilés
333,Basoko,CD,74.91,Clear,1.24,23.62,Flat Hotel La Benediction
334,Flin Flon,CA,57.2,Clouds,54.77,-101.86,Victoria Inn Flin Flon
335,Bestobe,KZ,55.42,Clouds,52.5,73.1,
336,Ahipara,NZ,57.85,Clouds,-35.17,173.17,Ahipara Holiday Park
338,Sola,VU,81.77,Clear,-13.88,167.55,Leumerus Bungalows
339,Osmena,PH,83.98,Clear,10.52,119.93,Arjemarkyza Lodge
340,Meulaboh,ID,78.13,Rain,4.14,96.13,Kost Pria
342,Zhangye,CN,56.79,Clear,38.93,100.45,Zhangye Lvzhou Holiday Inn
343,Santona,ES,57.2,Rain,43.44,-3.46,Playamar
345,Kununurra,AU,73.4,Clouds,-15.77,128.73,Hotel Kununurra
346,Yulara,AU,51.8,Clear,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
347,Buin,CL,78.8,Clear,-33.73,-70.75,Paihuen
348,Paka,MY,77.0,Rain,4.64,103.44,Rumbia Resort Villa Paka Terengganu
350,Goundi,TD,91.51,Clouds,9.36,17.37,
353,Burlington,US,62.6,Clouds,39.88,-74.64,Delanco Camp
354,Bani Walid,LY,71.98,Clear,31.76,13.99,منزل الصابر أبوفانة
355,Atar,MR,88.3,Clouds,20.52,-13.05,Oumou Elghoura
356,Marawi,PH,75.99,Clouds,8.0,124.29,Derogongan Residence
357,Nokaneng,BW,72.45,Clouds,-19.67,22.27,
358,Inza,RU,53.01,Rain,53.85,46.36,Natali
359,Altay,CN,61.3,Clouds,47.87,88.12,Jinqiao Hotel
360,Shimoda,JP,50.0,Clear,34.67,138.95,Shimoda Tokyu Hotel
361,Gambiran,ID,74.88,Clouds,-6.8,111.5,GUBUK KU
362,Ulagan,RU,52.05,Clouds,50.63,87.96,Gostevoy Dom
