City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Nuuk,GL,2020-04-20 21:13:56,64.18,-51.72,39.2,38,11,3.36
150,Cidreira,BR,2020-04-20 21:11:05,-30.18,-50.21,69.4,81,0,10.07
151,Road Town,VG,2020-04-20 21:12:12,18.42,-64.62,84.2,66,90,9.17
152,Uige,AO,2020-04-20 21:13:56,-7.61,15.06,69.66,73,99,0.98
153,Ayan,RU,2020-04-20 21:08:30,56.45,138.17,21.61,89,100,7.14
154,San Jose,US,2020-04-20 21:12:22,37.34,-121.89,64.99,55,75,14.99
155,Turukhansk,RU,2020-04-20 21:13:57,65.82,87.98,33.93,97,100,6.64
156,Georgetown,MY,2020-04-20 21:11:08,5.41,100.34,80.6,100,20,4.85
157,Margate,GB,2020-04-20 21:11:43,51.38,1.39,54.0,72,2,29.06
158,Le Port,RE,2020-04-20 21:13:57,-20.94,55.29,75.2,78,26,17.22
159,Barre,US,2020-04-20 21:13:58,44.2,-72.5,51.01,22,1,6.93
160,Boralday,KZ,2020-04-20 21:13:58,43.36,76.86,51.8,66,20,2.24
161,Pevek,RU,2020-04-20 21:11:44,69.7,170.31,5.18,93,99,5.91
162,Kaitangata,NZ,2020-04-20 21:08:49,-46.28,169.85,44.01,84,76,4.0
163,Marawi,PH,2020-04-20 21:13:59,8.0,124.29,68.18,74,0,3.4
164,Alexandria,EG,2020-04-20 21:10:12,31.22,29.96,64.4,77,100,8.05
165,Thompson,CA,2020-04-20 21:12:08,55.74,-97.86,21.2,62,75,13.87
166,Bagrami,AF,2020-04-20 21:13:59,34.49,69.27,46.4,81,0,4.7
167,Seddon,AU,2020-04-20 21:13:59,-37.81,144.89,46.4,87,1,8.05
168,Nova Olimpia,BR,2020-04-20 21:14:00,-14.8,-57.29,79.79,84,100,1.95
169,Kodiak,US,2020-04-20 21:10:57,57.79,-152.41,44.6,93,90,5.82
170,Hirara,JP,2020-04-20 21:14:00,24.8,125.28,73.99,91,63,8.08
171,Rameshki,RU,2020-04-20 21:14:00,57.34,36.05,32.31,89,0,5.19
172,Airai,TL,2020-04-20 21:10:32,-8.93,125.41,60.89,71,71,3.0
173,Ponta Delgada,PT,2020-04-20 21:14:01,37.73,-25.67,59.0,67,20,4.7
174,Bairiki,KI,2020-04-20 21:14:01,1.33,172.98,84.2,74,40,6.93
175,Akom,CM,2020-04-20 21:14:01,2.67,12.71,69.17,77,75,2.59
176,Pisco,PE,2020-04-20 21:11:30,-13.7,-76.22,75.2,64,0,21.92
177,Tigil,RU,2020-04-20 21:14:02,57.8,158.67,12.56,94,89,1.25
178,Cascais,PT,2020-04-20 21:14:02,38.7,-9.42,57.0,82,20,5.82
179,Sheridan,US,2020-04-20 21:14:03,44.83,-106.92,62.6,27,1,16.11
180,Kloulklubed,PW,2020-04-20 21:11:51,7.04,134.26,80.6,83,75,4.7
181,Roebourne,AU,2020-04-20 21:14:03,-20.78,117.13,80.83,68,100,8.84
182,Arraial Do Cabo,BR,2020-04-20 21:11:05,-22.97,-42.03,77.0,69,1,9.17
183,Tiksi,RU,2020-04-20 21:11:30,71.69,128.87,19.53,94,95,3.87
184,Yaan,NG,2020-04-20 21:14:04,7.38,8.57,84.24,57,47,8.16
185,Provideniya,RU,2020-04-20 21:11:32,64.38,-173.3,17.6,78,75,8.95
186,Taltal,CL,2020-04-20 21:14:04,-25.4,-70.48,70.54,59,1,3.78
187,Grootfontein,NA,2020-04-20 21:13:37,-19.57,18.12,61.97,30,3,5.66
188,Shakawe,BW,2020-04-20 21:14:05,-18.37,21.85,65.07,35,100,5.14
189,Shelburne,CA,2020-04-20 21:13:51,44.08,-80.2,51.8,32,40,13.87
190,Mahibadhoo,MV,2020-04-20 21:14:05,3.78,72.97,85.08,74,83,7.58
191,Vila Franca Do Campo,PT,2020-04-20 21:11:33,37.72,-25.43,59.0,67,20,4.7
192,Yamada,JP,2020-04-20 21:10:55,39.47,141.95,49.55,80,94,8.66
193,Dawei,MM,2020-04-20 21:14:05,14.08,98.2,79.61,66,46,2.91
194,Takoradi,GH,2020-04-20 21:11:41,4.88,-1.76,82.33,80,1,10.98
195,Kosino,RU,2020-04-20 21:14:06,58.41,51.28,34.61,84,62,4.99
196,Pacific Grove,US,2020-04-20 21:09:38,36.62,-121.92,60.8,67,90,9.17
197,Hazorasp,UZ,2020-04-20 21:09:31,41.32,61.07,64.4,39,0,4.7
198,Thinadhoo,MV,2020-04-20 21:14:06,0.53,72.93,84.49,75,75,9.04
199,Lahaina,US,2020-04-20 21:14:07,20.88,-156.68,80.6,61,20,9.17
200,Olinda,BR,2020-04-20 21:12:28,-8.01,-34.86,78.8,88,75,9.17
201,Turan,VN,2020-04-20 21:14:07,16.07,108.22,78.8,88,40,2.24
202,Qesarya,IL,2020-04-20 21:14:07,32.52,34.9,66.2,63,0,4.7
203,Gangawati,IN,2020-04-20 21:14:07,15.43,76.53,80.74,28,86,5.61
204,Kishtwar,IN,2020-04-20 21:14:07,33.32,75.77,47.77,30,93,4.99
205,Sitka,US,2020-04-20 21:11:05,57.05,-135.33,44.6,87,90,16.11
206,Svetlyy,RU,2020-04-20 21:14:08,54.67,20.13,41.0,86,0,4.47
207,Inta,RU,2020-04-20 21:14:09,66.03,60.17,32.16,94,89,10.07
208,Novyy Urgal,RU,2020-04-20 21:14:09,51.07,132.56,31.51,76,100,11.59
209,Haines Junction,CA,2020-04-20 21:14:09,60.75,-137.51,41.45,60,100,8.25
210,Lasa,IT,2020-04-20 21:12:16,46.62,10.7,44.6,100,75,9.17
211,Fort Frances,CA,2020-04-20 21:14:10,48.6,-93.4,34.0,40,90,20.8
212,Gusinoye Ozero,RU,2020-04-20 21:14:10,51.11,106.26,20.59,79,0,3.56
213,Cabo San Lucas,MX,2020-04-20 21:10:59,22.89,-109.91,81.0,44,5,8.05
214,Shache,CN,2020-04-20 21:12:27,38.42,77.24,54.23,45,57,2.44
215,Dingle,PH,2020-04-20 21:12:08,11.0,122.67,79.7,82,97,6.62
216,Tautira,PF,2020-04-20 21:14:11,-17.73,-149.15,87.8,62,47,6.93
217,Hithadhoo,MV,2020-04-20 21:08:32,-0.6,73.08,84.67,69,62,8.08
218,Maniitsoq,GL,2020-04-20 21:12:36,65.42,-52.9,31.1,87,39,6.13
219,Nishihara,JP,2020-04-20 21:11:41,26.18,127.76,68.0,88,75,4.7
220,Sterling,US,2020-04-20 21:13:29,39.01,-77.43,64.0,44,75,3.36
221,Luanda,AO,2020-04-20 21:12:58,-8.84,13.23,80.6,88,40,5.82
222,Victor Harbor,AU,2020-04-20 21:14:12,-35.57,138.62,53.01,86,11,11.41
223,Hobyo,SO,2020-04-20 21:14:12,5.35,48.53,84.52,73,98,12.21
224,Port Lincoln,AU,2020-04-20 21:11:34,-34.73,135.87,59.32,76,27,15.88
225,Caravelas,BR,2020-04-20 21:11:45,-17.71,-39.25,76.26,80,24,13.73
226,Bengkulu,ID,2020-04-20 21:11:28,-3.8,102.27,78.21,80,59,4.88
227,Laguna,US,2020-04-20 21:11:51,38.42,-121.42,69.01,52,75,6.93
228,Vredefort,ZA,2020-04-20 21:14:12,-27.01,27.36,60.55,31,0,1.07
229,Touros,BR,2020-04-20 21:11:50,-5.2,-35.46,80.6,83,40,11.41
230,Rio Grande City,US,2020-04-20 21:14:13,26.38,-98.82,99.0,32,43,3.0
231,Rocha,UY,2020-04-20 21:12:10,-34.48,-54.33,66.13,76,0,2.21
232,Porto Walter,BR,2020-04-20 21:11:05,-8.27,-72.74,89.44,39,3,1.83
233,Kongolo,CD,2020-04-20 21:14:13,-5.38,27.0,71.24,80,95,1.16
234,Nouadhibou,MR,2020-04-20 21:08:49,20.93,-17.03,69.8,64,0,18.34
235,Kununurra,AU,2020-04-20 21:14:14,-15.77,128.73,73.4,94,46,3.36
236,Lafia,NG,2020-04-20 21:14:14,8.48,8.52,85.42,54,96,1.88
237,San Quintin,MX,2020-04-20 21:14:14,30.48,-115.95,65.25,61,8,19.77
238,Kavieng,PG,2020-04-20 21:11:36,-2.57,150.8,84.24,71,73,0.54
239,Belmonte,BR,2020-04-20 21:10:54,-15.86,-38.88,77.0,78,40,6.93
240,Port Alfred,ZA,2020-04-20 21:10:53,-33.59,26.89,64.99,88,36,3.0
241,Ouesso,CG,2020-04-20 21:14:15,1.61,16.05,75.02,73,68,2.01
242,Balabac,PH,2020-04-20 21:11:47,7.99,117.06,83.98,77,60,11.65
243,Acapulco,MX,2020-04-20 21:14:16,16.86,-99.89,84.2,66,5,9.17
244,Havre,FR,2020-04-20 21:14:17,49.58,0.33,59.0,62,100,10.29
245,Wodonga,AU,2020-04-20 21:14:17,-36.12,146.88,50.0,100,90,3.36
246,Camargo,MX,2020-04-20 21:14:17,27.67,-105.17,89.74,7,67,10.47
247,Ponta Do Sol,PT,2020-04-20 21:10:57,32.67,-17.1,62.6,55,20,9.17
248,Mayo,US,2020-04-20 21:11:55,38.89,-76.51,62.01,51,1,3.36
249,Yeppoon,AU,2020-04-20 21:14:18,-23.13,150.73,71.6,94,90,6.93
250,Leningradskiy,RU,2020-04-20 21:12:32,69.38,178.42,9.36,90,2,6.6
251,Brumunddal,NO,2020-04-20 21:14:18,60.88,10.94,44.01,53,12,4.0
252,Launceston,AU,2020-04-20 21:14:18,-41.45,147.17,46.4,87,90,9.17
253,Los Llanos De Aridane,ES,2020-04-20 21:11:28,28.66,-17.92,68.0,77,40,13.87
254,Qaqortoq,GL,2020-04-20 21:11:51,60.72,-46.03,37.4,37,54,2.24
255,Soe,ID,2020-04-20 21:14:18,-9.86,124.28,66.87,82,12,3.13
256,Daru,PG,2020-04-20 21:14:19,-9.08,143.21,79.57,85,85,8.12
257,Booue,GA,2020-04-20 21:14:19,-0.09,11.94,70.95,88,100,6.08
258,Jiaocheng,CN,2020-04-20 21:11:29,24.68,116.14,71.49,86,71,1.43
259,Batagay-Alyta,RU,2020-04-20 21:12:28,67.8,130.41,21.27,88,100,0.43
260,Champerico,GT,2020-04-20 21:13:06,14.3,-91.92,91.4,46,40,11.41
261,Vardo,NO,2020-04-20 21:11:06,70.37,31.11,35.6,69,40,13.87
262,Jacareacanga,BR,2020-04-20 21:13:31,-6.22,-57.75,79.16,90,87,1.68
263,Vao,NC,2020-04-20 21:11:50,-22.67,167.48,76.1,79,34,12.5
264,Bambous Virieux,MU,2020-04-20 21:10:42,-20.34,57.76,73.99,87,40,5.99
265,Zurrieq,MT,2020-04-20 21:14:23,35.83,14.47,61.0,100,75,9.17
266,Grand Gaube,MU,2020-04-20 21:14:23,-20.01,57.66,73.99,86,20,8.99
267,Altay,CN,2020-04-20 21:14:24,47.87,88.12,48.54,30,0,6.31
268,Iguape,BR,2020-04-20 21:14:24,-24.71,-47.56,70.54,82,15,5.59
269,Berlevag,NO,2020-04-20 21:12:53,70.86,29.09,39.2,60,75,28.86
270,Vanimo,PG,2020-04-20 21:12:05,-2.67,141.3,79.3,82,99,6.73
271,Khashuri,GE,2020-04-20 21:14:25,41.99,43.6,50.92,62,100,5.35
272,Port Hardy,CA,2020-04-20 21:12:35,50.7,-127.42,50.0,87,75,5.82
273,Kourou,GF,2020-04-20 21:14:25,5.16,-52.65,73.4,100,75,1.12
274,Cove,BJ,2020-04-20 21:14:25,7.22,2.34,80.56,78,48,5.26
275,Yenagoa,NG,2020-04-20 21:14:26,4.92,6.26,78.15,89,6,4.56
276,Palu,ID,2020-04-20 21:14:26,-0.89,119.87,75.83,79,9,2.33
